unit_id,project,language,attempt,rng_seed,generation_complete,evaluator_return_code,passed,failure_stage,architecture_team_sha256,initial_repository_tree_sha256,generated_repository_tree_sha256,evidence_path,generation_report_path,evaluator_log_path
p01_snake_game_cpp,p01_snake_game,cpp,1,666643921,True,0,True,,6d38ed734a9368bde06574600fd9c5343731af32998a6c9fca8094daf7c548a3,ef91e3b7365cc187397d5f02934ea6993f8cf5af020d7ffe11b2f340baa13649,5b5e41b92271f2b077a56f524c2a383b7e49ece90a92c3b3428ec857bcce10d9,units/p01_snake_game/cpp/attempts/0001_seed_666643921/evidence.json,units/p01_snake_game/cpp/attempts/0001_seed_666643921/generation_report.json,units/p01_snake_game/cpp/attempts/0001_seed_666643921/evaluator.log
p01_snake_game_java,p01_snake_game,java,1,1332723230,True,1,False,evaluation,b87da36a36b6bd69971e6d995176137e78335c25c94068c640ec0700eb17da80,17b09efc893713621cc2223043a261a979c53df10a1ae289f96966ce2c68d94f,48aaf65efba305291a89f4afce7a8b115abcf3b75aea085d1a9ab992a247e828,units/p01_snake_game/java/attempts/0001_seed_1332723230/evidence.json,units/p01_snake_game/java/attempts/0001_seed_1332723230/generation_report.json,units/p01_snake_game/java/attempts/0001_seed_1332723230/evaluator.log
p01_snake_game_java,p01_snake_game,java,2,4227743697,True,1,False,evaluation,b87da36a36b6bd69971e6d995176137e78335c25c94068c640ec0700eb17da80,17b09efc893713621cc2223043a261a979c53df10a1ae289f96966ce2c68d94f,c7710e74e04231633e816e8331ef43acfb175c6ebda57b970a96a70cb247ef6e,units/p01_snake_game/java/attempts/0002_seed_4227743697/evidence.json,units/p01_snake_game/java/attempts/0002_seed_4227743697/generation_report.json,units/p01_snake_game/java/attempts/0002_seed_4227743697/evaluator.log
p01_snake_game_java,p01_snake_game,java,3,3746296423,True,1,False,evaluation,b87da36a36b6bd69971e6d995176137e78335c25c94068c640ec0700eb17da80,17b09efc893713621cc2223043a261a979c53df10a1ae289f96966ce2c68d94f,cc9d9a7529af2ad07b1427a5117e6010361a27da91596c3bae0bc14b75254adb,units/p01_snake_game/java/attempts/0003_seed_3746296423/evidence.json,units/p01_snake_game/java/attempts/0003_seed_3746296423/generation_report.json,units/p01_snake_game/java/attempts/0003_seed_3746296423/evaluator.log
p01_snake_game_java,p01_snake_game,java,4,1082638472,True,0,True,,b87da36a36b6bd69971e6d995176137e78335c25c94068c640ec0700eb17da80,17b09efc893713621cc2223043a261a979c53df10a1ae289f96966ce2c68d94f,a31e4695b9294bffc9600ec841d3add954a1159d39c13562273fa34a8df65024,units/p01_snake_game/java/attempts/0004_seed_1082638472/evidence.json,units/p01_snake_game/java/attempts/0004_seed_1082638472/generation_report.json,units/p01_snake_game/java/attempts/0004_seed_1082638472/evaluator.log
p01_snake_game_python,p01_snake_game,python,1,3736547328,True,0,True,,d950dbbda42eb848e2889512d2584d5ab0ffe0660cc65464df972c66b55fa13f,3df97d956cf316cabd5a608b61c85435c8f77ec5217bbae9d50be4d15c01a201,496795243aab2e951d3b292f03ba021e32b3702cacf9f2e730e3c17426509ad3,units/p01_snake_game/python/attempts/0001_seed_3736547328/evidence.json,units/p01_snake_game/python/attempts/0001_seed_3736547328/generation_report.json,units/p01_snake_game/python/attempts/0001_seed_3736547328/evaluator.log
p02_flappy_bird_game_cpp,p02_flappy_bird_game,cpp,1,1944687455,True,2,False,evaluation,ced24fb585f3f7def95b013caeedb1913a630242951b199cdc7445e7491d6193,789c1efa82bb2d855bc96a93855d72b96f359cd2e3148d56d0a7055da274e1ea,bc9e8a9c26d2b2b4455397e21b7f2bb33d4749ab95a9d2cd5bd607d9b1afe819,units/p02_flappy_bird_game/cpp/attempts/0001_seed_1944687455/evidence.json,units/p02_flappy_bird_game/cpp/attempts/0001_seed_1944687455/generation_report.json,units/p02_flappy_bird_game/cpp/attempts/0001_seed_1944687455/evaluator.log
p02_flappy_bird_game_cpp,p02_flappy_bird_game,cpp,2,209523865,True,2,False,evaluation,ced24fb585f3f7def95b013caeedb1913a630242951b199cdc7445e7491d6193,789c1efa82bb2d855bc96a93855d72b96f359cd2e3148d56d0a7055da274e1ea,e7916759e0c454464eb55fae8ef7aa9aef2e4555c2a37aa11d25da4934c998d2,units/p02_flappy_bird_game/cpp/attempts/0002_seed_209523865/evidence.json,units/p02_flappy_bird_game/cpp/attempts/0002_seed_209523865/generation_report.json,units/p02_flappy_bird_game/cpp/attempts/0002_seed_209523865/evaluator.log
p02_flappy_bird_game_cpp,p02_flappy_bird_game,cpp,3,1192725353,True,0,True,,ced24fb585f3f7def95b013caeedb1913a630242951b199cdc7445e7491d6193,789c1efa82bb2d855bc96a93855d72b96f359cd2e3148d56d0a7055da274e1ea,e2d040aa189501202d472665d813df5adeb01e9c26cff3d91e42a55a049bd4b6,units/p02_flappy_bird_game/cpp/attempts/0003_seed_1192725353/evidence.json,units/p02_flappy_bird_game/cpp/attempts/0003_seed_1192725353/generation_report.json,units/p02_flappy_bird_game/cpp/attempts/0003_seed_1192725353/evaluator.log
p02_flappy_bird_game_java,p02_flappy_bird_game,java,1,2540127563,True,0,True,,8b0e52ae4c7090b792426c2e147b798b0d72baea83f9a3a8004de06284cf07a6,ca2e767a2d612062c7dd90f65673ebe261073c15968abe9b81979e8054181e5d,87079929a3f84dc84c3c9f630e60a92f37faed60a5bcc2d5b97408f570a50b80,units/p02_flappy_bird_game/java/attempts/0001_seed_2540127563/evidence.json,units/p02_flappy_bird_game/java/attempts/0001_seed_2540127563/generation_report.json,units/p02_flappy_bird_game/java/attempts/0001_seed_2540127563/evaluator.log
p02_flappy_bird_game_python,p02_flappy_bird_game,python,1,2343678053,True,1,False,evaluation,0199e47687655dee3c403fcbe05c29a39e70ded3d5393dadb1ce32edc3b308d5,095bed916afa7128f477c33dd1ec5e3fdb73cb91a6ba31fbacacd301f87f39b0,482cbbfe8edec08aaba234f08f63bf70766a7891811db9648e825a357e1dfb29,units/p02_flappy_bird_game/python/attempts/0001_seed_2343678053/evidence.json,units/p02_flappy_bird_game/python/attempts/0001_seed_2343678053/generation_report.json,units/p02_flappy_bird_game/python/attempts/0001_seed_2343678053/evaluator.log
p02_flappy_bird_game_python,p02_flappy_bird_game,python,2,3131337434,True,2,False,evaluation,0199e47687655dee3c403fcbe05c29a39e70ded3d5393dadb1ce32edc3b308d5,095bed916afa7128f477c33dd1ec5e3fdb73cb91a6ba31fbacacd301f87f39b0,e8e206428b6831b3e7fbf9f80119e28914dc8fc73eba2607d28befa59999b5bb,units/p02_flappy_bird_game/python/attempts/0002_seed_3131337434/evidence.json,units/p02_flappy_bird_game/python/attempts/0002_seed_3131337434/generation_report.json,units/p02_flappy_bird_game/python/attempts/0002_seed_3131337434/evaluator.log
p02_flappy_bird_game_python,p02_flappy_bird_game,python,3,679664151,True,1,False,evaluation,0199e47687655dee3c403fcbe05c29a39e70ded3d5393dadb1ce32edc3b308d5,095bed916afa7128f477c33dd1ec5e3fdb73cb91a6ba31fbacacd301f87f39b0,0fafeed4d5f2d2aeace0f04de80de487f024bd2fcba22cbf1a814fc30e8b5ccb,units/p02_flappy_bird_game/python/attempts/0003_seed_679664151/evidence.json,units/p02_flappy_bird_game/python/attempts/0003_seed_679664151/generation_report.json,units/p02_flappy_bird_game/python/attempts/0003_seed_679664151/evaluator.log
p02_flappy_bird_game_python,p02_flappy_bird_game,python,4,359880623,True,2,False,evaluation,0199e47687655dee3c403fcbe05c29a39e70ded3d5393dadb1ce32edc3b308d5,095bed916afa7128f477c33dd1ec5e3fdb73cb91a6ba31fbacacd301f87f39b0,26ef4ad77ba98e3af842046bcf024011ed3056727a5b6b262964a0d8044bd97d,units/p02_flappy_bird_game/python/attempts/0004_seed_359880623/evidence.json,units/p02_flappy_bird_game/python/attempts/0004_seed_359880623/generation_report.json,units/p02_flappy_bird_game/python/attempts/0004_seed_359880623/evaluator.log
p02_flappy_bird_game_python,p02_flappy_bird_game,python,5,3968137087,True,1,False,evaluation,0199e47687655dee3c403fcbe05c29a39e70ded3d5393dadb1ce32edc3b308d5,095bed916afa7128f477c33dd1ec5e3fdb73cb91a6ba31fbacacd301f87f39b0,29e8032d7781404090ef3acb8d3df1dcb41ee9b15cc5a7d2865b94b4185618b6,units/p02_flappy_bird_game/python/attempts/0005_seed_3968137087/evidence.json,units/p02_flappy_bird_game/python/attempts/0005_seed_3968137087/generation_report.json,units/p02_flappy_bird_game/python/attempts/0005_seed_3968137087/evaluator.log
p02_flappy_bird_game_python,p02_flappy_bird_game,python,6,1298988375,True,0,True,,0199e47687655dee3c403fcbe05c29a39e70ded3d5393dadb1ce32edc3b308d5,095bed916afa7128f477c33dd1ec5e3fdb73cb91a6ba31fbacacd301f87f39b0,d948afc91c63a16cf4f4554e8923ab9e9a4039cb8fe1c498c79ae3d38fe6375b,units/p02_flappy_bird_game/python/attempts/0006_seed_1298988375/evidence.json,units/p02_flappy_bird_game/python/attempts/0006_seed_1298988375/generation_report.json,units/p02_flappy_bird_game/python/attempts/0006_seed_1298988375/evaluator.log
p03_game_2048_cpp,p03_game_2048,cpp,1,1673168053,True,0,True,,f822e69d7c5c07a133e0431d9c1d70eb643f8378b2cc9e3a3ffda2ad39cb3f1b,f210e65cf8384620a9ced892f3f0183a4f5fb6899c6e87d8cbbfaee443125c84,4c293f7fd9195135901886bca5a4ef4b52a20d8b153bc0c70f37fa4bbeb9e79d,units/p03_game_2048/cpp/attempts/0001_seed_1673168053/evidence.json,units/p03_game_2048/cpp/attempts/0001_seed_1673168053/generation_report.json,units/p03_game_2048/cpp/attempts/0001_seed_1673168053/evaluator.log
p03_game_2048_java,p03_game_2048,java,1,887850646,True,0,True,,f8f397b2e0ad180d5b702d1aea82987017d02c69b07953f0003c97b2407f41d3,8427109f247a02d66e4f3de4bb7b59a776c0187140a90720627d292cb178ae8c,0dd1c2b3880ee6451c550500fc5a5c0fc6da43bc17cbd307109c256aec8ec073,units/p03_game_2048/java/attempts/0001_seed_887850646/evidence.json,units/p03_game_2048/java/attempts/0001_seed_887850646/generation_report.json,units/p03_game_2048/java/attempts/0001_seed_887850646/evaluator.log
p03_game_2048_python,p03_game_2048,python,1,3935857006,True,1,False,evaluation,dc0c4677df912f39dc9ab08d5364a3fc7e9f333e50bc4b33b4f3a0ad8589577a,e4a0f80a91dee6a2acc2075f923d890b07041bf7e01b5125c4b4cc3149373901,4a3c79a958135c5c4ebc157d8377303b180430915c099cffdf59739b0ea79e69,units/p03_game_2048/python/attempts/0001_seed_3935857006/evidence.json,units/p03_game_2048/python/attempts/0001_seed_3935857006/generation_report.json,units/p03_game_2048/python/attempts/0001_seed_3935857006/evaluator.log
p03_game_2048_python,p03_game_2048,python,2,100489887,True,0,True,,dc0c4677df912f39dc9ab08d5364a3fc7e9f333e50bc4b33b4f3a0ad8589577a,e4a0f80a91dee6a2acc2075f923d890b07041bf7e01b5125c4b4cc3149373901,1f3e6c600235bf7d225f1473f7230c0fac237a2e2150855c1f8e905ea8ca4a5f,units/p03_game_2048/python/attempts/0002_seed_100489887/evidence.json,units/p03_game_2048/python/attempts/0002_seed_100489887/generation_report.json,units/p03_game_2048/python/attempts/0002_seed_100489887/evaluator.log
p04_caro_game_cpp,p04_caro_game,cpp,1,3040666590,True,2,False,evaluation,fd330e36d71a5ce72db57a15088c1b3196b620a3efb3f93baf9314a424c5925f,553108e7eab6a4db093e04c9f9d1f7434fa4012d12d330c44e0987511f9513a1,10b994dea90c61fab18d34a9bb2af3be0ed3ac1a175cc32616ccf3501a8878e8,units/p04_caro_game/cpp/attempts/0001_seed_3040666590/evidence.json,units/p04_caro_game/cpp/attempts/0001_seed_3040666590/generation_report.json,units/p04_caro_game/cpp/attempts/0001_seed_3040666590/evaluator.log
p04_caro_game_cpp,p04_caro_game,cpp,2,2505762387,True,1,False,evaluation,fd330e36d71a5ce72db57a15088c1b3196b620a3efb3f93baf9314a424c5925f,553108e7eab6a4db093e04c9f9d1f7434fa4012d12d330c44e0987511f9513a1,82b3b4a2a714a2978d90d1935fc1c388fed4e15a413a0d29f8ac53acf44278c9,units/p04_caro_game/cpp/attempts/0002_seed_2505762387/evidence.json,units/p04_caro_game/cpp/attempts/0002_seed_2505762387/generation_report.json,units/p04_caro_game/cpp/attempts/0002_seed_2505762387/evaluator.log
p04_caro_game_cpp,p04_caro_game,cpp,3,4049878797,True,2,False,evaluation,fd330e36d71a5ce72db57a15088c1b3196b620a3efb3f93baf9314a424c5925f,553108e7eab6a4db093e04c9f9d1f7434fa4012d12d330c44e0987511f9513a1,bd0e9dfeed0267b37bf979e060284f7e9e538c3503db8d55ed0017e6f637f277,units/p04_caro_game/cpp/attempts/0003_seed_4049878797/evidence.json,units/p04_caro_game/cpp/attempts/0003_seed_4049878797/generation_report.json,units/p04_caro_game/cpp/attempts/0003_seed_4049878797/evaluator.log
p04_caro_game_cpp,p04_caro_game,cpp,4,3838723605,True,2,False,evaluation,fd330e36d71a5ce72db57a15088c1b3196b620a3efb3f93baf9314a424c5925f,553108e7eab6a4db093e04c9f9d1f7434fa4012d12d330c44e0987511f9513a1,1ef1f3b25d437a132a7eb1d42c14f421dc9c44333bde691295837b54ad440897,units/p04_caro_game/cpp/attempts/0004_seed_3838723605/evidence.json,units/p04_caro_game/cpp/attempts/0004_seed_3838723605/generation_report.json,units/p04_caro_game/cpp/attempts/0004_seed_3838723605/evaluator.log
p04_caro_game_cpp,p04_caro_game,cpp,5,4057175273,True,2,False,evaluation,fd330e36d71a5ce72db57a15088c1b3196b620a3efb3f93baf9314a424c5925f,553108e7eab6a4db093e04c9f9d1f7434fa4012d12d330c44e0987511f9513a1,87a72d7b0af7e397368e49072fb6621cca69f53070b06ab785e021a554da53c0,units/p04_caro_game/cpp/attempts/0005_seed_4057175273/evidence.json,units/p04_caro_game/cpp/attempts/0005_seed_4057175273/generation_report.json,units/p04_caro_game/cpp/attempts/0005_seed_4057175273/evaluator.log
p04_caro_game_cpp,p04_caro_game,cpp,6,1922813371,True,0,True,,fd330e36d71a5ce72db57a15088c1b3196b620a3efb3f93baf9314a424c5925f,553108e7eab6a4db093e04c9f9d1f7434fa4012d12d330c44e0987511f9513a1,e79c288bfbb4d0651ce0c10743cee6651b6d2d79b58b7d934ba074eca453218a,units/p04_caro_game/cpp/attempts/0006_seed_1922813371/evidence.json,units/p04_caro_game/cpp/attempts/0006_seed_1922813371/generation_report.json,units/p04_caro_game/cpp/attempts/0006_seed_1922813371/evaluator.log
p04_caro_game_java,p04_caro_game,java,1,3365300451,True,0,True,,7277a4988d707a85f7f7fd80ba9d050f787d023d3c2b541ea6d7774281cc43d7,679157bf7200c11344648fce11f484f5cfa3d2c3d8671edc7dd689187df6d161,774617320bf0f766c26d3bb7b58276677f4c09d428ec86bb8726c81d33f1793f,units/p04_caro_game/java/attempts/0001_seed_3365300451/evidence.json,units/p04_caro_game/java/attempts/0001_seed_3365300451/generation_report.json,units/p04_caro_game/java/attempts/0001_seed_3365300451/evaluator.log
p04_caro_game_python,p04_caro_game,python,1,812711061,True,0,True,,8ab8042fa8dc789cad1d74394df431bf9753d27f1d6d5d91c944f6e183c699fe,6a84d4151b099130cc1a4fa14cd11745b8252576094922a8fe6deaf5e8d11492,072e62e72219ae7e60f8d5af8d3c486dd876ea10236fd00ad20a2449eb77edcf,units/p04_caro_game/python/attempts/0001_seed_812711061/evidence.json,units/p04_caro_game/python/attempts/0001_seed_812711061/generation_report.json,units/p04_caro_game/python/attempts/0001_seed_812711061/evaluator.log
p05_brick_breaker_game_cpp,p05_brick_breaker_game,cpp,1,1069936465,True,2,False,evaluation,ca42b769e11a04a99e246503fb81f240028f04967e3cc3b602cc2a2993e71f10,2ecfdec83a7e479ec5320e6c91bc24d755a2b64f11643a85cd6f7f3aacc86871,54437913be11c160eab2f38aabfa9f50a9e46aa838b29be8188d4b14c7debbc3,units/p05_brick_breaker_game/cpp/attempts/0001_seed_1069936465/evidence.json,units/p05_brick_breaker_game/cpp/attempts/0001_seed_1069936465/generation_report.json,units/p05_brick_breaker_game/cpp/attempts/0001_seed_1069936465/evaluator.log
p05_brick_breaker_game_cpp,p05_brick_breaker_game,cpp,2,1300987923,True,0,True,,ca42b769e11a04a99e246503fb81f240028f04967e3cc3b602cc2a2993e71f10,2ecfdec83a7e479ec5320e6c91bc24d755a2b64f11643a85cd6f7f3aacc86871,811246bff959b77781ffba3734f845d4a883bec235806bfbdbd174d2cc092f2a,units/p05_brick_breaker_game/cpp/attempts/0002_seed_1300987923/evidence.json,units/p05_brick_breaker_game/cpp/attempts/0002_seed_1300987923/generation_report.json,units/p05_brick_breaker_game/cpp/attempts/0002_seed_1300987923/evaluator.log
p05_brick_breaker_game_java,p05_brick_breaker_game,java,1,2697919693,True,0,True,,fd409171b75f9ae34cee44c935e48b5236c55f6661e9e0eba1a17f0c60cd328c,96dc22fff13aa590bf8239bc10a48598f9f6122b23f098e7c4e2522d4728d6b3,7ef8c5f42307dfa7ad4f827dff3ab688b28d9cbb2457f349a5e486e4a8c8510e,units/p05_brick_breaker_game/java/attempts/0001_seed_2697919693/evidence.json,units/p05_brick_breaker_game/java/attempts/0001_seed_2697919693/generation_report.json,units/p05_brick_breaker_game/java/attempts/0001_seed_2697919693/evaluator.log
